2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  5,000,000đ
2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  1,000đ
2023-03-25 21:51:51 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-25 21:51:51 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-26 00:32:13 | 123456 |  TRANSACTION |      -10,000đ |  899,990,000đ
2023-03-26 00:55:09 | 123456 |         LOAN |       10,000đ |  900,000,000đ
2023-03-26 00:57:07 | 123456 |  TRANSACTION |     -100,000đ |  899,900,000đ
2023-03-26 01:01:32 | 123456 |  TRANSACTION |   -1,000,000đ |  898,900,000đ
2023-03-26 01:10:05 | 123456 |         LOAN |    1,000,000đ |  899,900,000đ
2023-03-26 01:10:50 | 123456 |         LOAN |    1,000,000đ |  900,900,000đ
2023-03-26 01:16:30 | 123456 |         LOAN |    1,000,000đ |  901,900,000đ
2023-03-26 01:17:51 | 123456 |  TRANSACTION |   -1,000,000đ |  900,900,000đ
2023-03-26 01:19:23 | 123456 |         LOAN |   10,000,000đ |  910,900,000đ
2023-03-26 01:25:55 | 123456 |  TRANSACTION |  -10,900,000đ |  900,000,000đ
2023-03-26 01:28:56 | 123456 |  TRANSACTION | -100,000,000đ |  799,000,000đ
2023-03-26 01:29:42 | 123456 |      SAVINGS |  100,000,000đ |  900,000,000đ
2023-03-26 01:32:00 | 123456 |  TRANSACTION | -100,000,000đ |  799,000,000đ
2023-03-26 01:34:52 | 123456 |      SAVINGS |    1,000,000đ |  800,000,000đ
2023-03-26 01:35:45 | 123456 |      SAVINGS |  100,000,000đ |  900,000,000đ
2023-03-26 01:36:10 | 123456 |  TRANSACTION | -100,000,000đ |  799,000,000đ
2023-03-26 01:37:10 | 123456 |         LOAN |        1,000đ |  799,000,990đ
2023-03-26 01:39:21 | 123456 |         LOAN |    1,000,000đ |  799,990,990đ
2023-03-26 01:44:43 | 123456 |      SAVINGS |        1,000đ |  799,991,990đ
2023-03-26 01:45:21 | 123456 |      SAVINGS |  200,002,010đ |  999,994,000đ
2023-03-26 01:45:44 | 123456 |      SAVINGS |        6,000đ | 1,000,000,000đ
2023-04-10 11:57:20 | 123456 |  TRANSACTION |      -10,000đ |  999,989,900đ
2023-04-10 15:07:18 | 123456 |  TRANSACTION |     -200,000đ |  999,787,900đ
2023-04-10 19:52:04 | 123456 |      SAVINGS |    1,000,000đ | 1,000,787,900đ
2023-04-12 10:12:22 | 123456 |         LOAN |    1,000,000đ | 1,001,777,900đ
2023-04-12 12:00:10 | 123456 |         LOAN |      100,000đ | 1,000,886,900đ
2023-04-13 11:40:37 | 123456 |  TRANSACTION |     -100,000đ | 1,000,785,900đ
2023-04-13 12:16:38 | 123456 |         LOAN |      100,000đ | 1,000,884,900đ
2023-04-13 12:19:10 | 123456 |         LOAN |      100,000đ | 1,000,983,900đ
2023-04-16 22:24:47 | 123456 |  TRANSACTION |     -100,000đ | 1,000,882,900đ
2023-04-16 22:44:02 | 123456 |      SAVINGS |       10,000đ | 1,000,892,900đ
2023-04-16 22:49:26 | 123456 |      SAVINGS |      100,000đ | 1,000,992,900đ
2023-04-16 22:50:12 | 123456 |      SAVINGS |       20,000đ | 1,001,012,900đ
2023-04-16 22:51:41 | 123456 |      SAVINGS |       10,000đ | 1,001,022,900đ
2023-04-16 22:53:29 | 123456 |      SAVINGS |       10,000đ | 1,001,032,900đ
2023-04-18 10:32:30 | 123456 |      SAVINGS |       10,000đ | 1,001,042,900đ
2023-04-18 10:32:55 | 123456 |  TRANSACTION |      -10,000đ | 1,001,032,800đ
2023-04-18 10:39:16 | 123456 |  TRANSACTION |     -100,000đ | 1,000,931,800đ
2023-04-18 11:05:28 | 123456 |  TRANSACTION |            0đ | 1,000,931,800đ
2023-04-18 11:08:34 | 123456 |      SAVINGS |            0đ | 1,000,931,800đ
2023-04-18 11:11:17 | 123456 |  TRANSACTION |     -100,000đ | 1,000,830,800đ
2023-04-18 11:21:59 | 123456 |  TRANSACTION |     -100,000đ | 1,000,729,800đ
2023-04-18 11:22:18 | 123456 |  TRANSACTION |     -100,000đ | 1,000,628,800đ
2023-04-18 11:24:49 | 123456 |      SAVINGS |      500,000đ | 1,001,128,800đ
2023-04-18 11:29:37 | 123456 |      SAVINGS |      200,000đ | 1,001,328,800đ
2023-04-18 12:07:37 | 123456 |  TRANSACTION |     -100,000đ | 1,001,227,800đ
2023-04-18 12:18:19 | 123456 |      SAVINGS |      100,000đ | 1,001,327,800đ
2023-04-18 20:20:33 | 123456 |  TRANSACTION |   -5,000,000đ |  996,277,800đ
